frame    t(s)  contacts  resting          position (x,y,z)             velocity (x,y,z)  layer
-----  ------  --------  -------  --------------------------  ---------------------------  -----
    0   0.000         0    False  (  1725.79,  61.67,  -773.41)  (    0.00,   -1.55,  -24.98)      1
    1   0.017         0    False  (  1725.79,  61.60,  -774.25)  (    0.00,   -2.04,  -24.98)      1
    2   0.033         0    False  (  1725.79,  61.60,  -774.25)  (    0.00,   -2.04,  -24.98)      1
    3   0.050         0    False  (  1725.79,  61.51,  -775.08)  (    0.00,   -2.53,  -24.98)      1
    4   0.067         0    False  (  1725.79,  61.51,  -775.08)  (    0.00,   -2.53,  -24.98)      1
    5   0.083         0    False  (  1725.79,  61.41,  -775.91)  (    0.00,   -3.02,  -24.98)      1
    6   0.100         0    False  (  1725.79,  61.30,  -776.74)  (    0.00,   -3.51,  -24.98)      1
    7   0.117         0    False  (  1725.79,  61.16,  -777.58)  (    0.00,   -4.01,  -24.98)      1
    8   0.133         0    False  (  1725.79,  61.16,  -777.58)  (    0.00,   -4.01,  -24.98)      1
    9   0.150         0    False  (  1725.79,  61.01,  -778.41)  (    0.00,   -4.50,  -24.98)      1
   10   0.167         0    False  (  1725.79,  60.85,  -779.24)  (    0.00,   -4.99,  -24.98)      1
   11   0.183         0    False  (  1725.79,  60.66,  -780.08)  (    0.00,   -5.48,  -24.98)      1
   12   0.200         0    False  (  1725.79,  60.66,  -780.08)  (    0.00,   -5.48,  -24.98)      1
   13   0.217         0    False  (  1725.79,  60.46,  -780.91)  (    0.00,   -5.97,  -24.98)      1
   14   0.233         0    False  (  1725.79,  60.46,  -780.91)  (    0.00,   -5.97,  -24.98)      1
   15   0.250         0    False  (  1725.79,  60.25,  -781.74)  (    0.00,   -6.46,  -24.98)      1
   16   0.267         1    False  (  1725.79,  60.05,  -782.46)  (   -0.05,    0.09,  -23.37)      1
   17   0.283         1    False  (  1725.79,  60.05,  -782.46)  (   -0.05,    0.09,  -23.37)      1
   18   0.300         1    False  (  1725.79,  60.06,  -783.24)  (   -0.05,    0.04,  -21.85)      1
   19   0.317         1    False  (  1725.79,  60.08,  -783.97)  (   -0.05,    0.00,  -20.38)      1
   20   0.333         1    False  (  1725.79,  60.08,  -783.97)  (   -0.05,    0.00,  -20.38)      1
   21   0.350         1    False  (  1725.78,  60.07,  -784.65)  (   -0.05,   -0.03,  -18.96)      1
   22   0.367         1    False  (  1725.78,  60.07,  -784.65)  (   -0.05,   -0.03,  -18.96)      1
   23   0.383         1    False  (  1725.78,  60.05,  -785.28)  (   -0.05,   -0.06,  -17.58)      1
   24   0.400         1    False  (  1725.78,  60.04,  -785.86)  (   -0.05,   -0.07,  -16.26)      1
   25   0.417         1    False  (  1725.78,  60.04,  -785.86)  (   -0.05,   -0.07,  -16.26)      1
   26   0.433         1    False  (  1725.78,  60.03,  -786.41)  (   -0.05,   -0.09,  -14.98)      1
   27   0.450         1    False  (  1725.78,  60.02,  -786.90)  (   -0.05,   -0.10,  -13.74)      1
   28   0.467         1    False  (  1725.78,  60.02,  -786.90)  (   -0.05,   -0.10,  -13.74)      1
   29   0.483         1    False  (  1725.78,  60.01,  -787.36)  (   -0.04,   -0.10,  -12.54)      1
   30   0.500         1    False  (  1725.78,  60.01,  -787.36)  (   -0.04,   -0.10,  -12.54)      1
   31   0.517         1    False  (  1725.77,  60.00,  -787.78)  (   -0.04,   -0.10,  -11.39)      1
   32   0.533         1    False  (  1725.77,  60.00,  -788.16)  (   -0.03,   -0.10,  -10.27)      1
   33   0.550         1    False  (  1725.77,  60.00,  -788.16)  (   -0.03,   -0.10,  -10.27)      1
   34   0.567         1    False  (  1725.77,  60.00,  -788.50)  (   -0.03,   -0.08,   -9.19)      1
   35   0.583         1    False  (  1725.77,  60.00,  -788.50)  (   -0.03,   -0.08,   -9.19)      1
   36   0.600         1    False  (  1725.77,  60.00,  -788.81)  (   -0.03,   -0.06,   -8.15)      1
   37   0.617         1    False  (  1725.77,  60.00,  -789.08)  (   -0.02,   -0.05,   -7.14)      1
   38   0.633         1    False  (  1725.77,  60.00,  -789.08)  (   -0.02,   -0.05,   -7.14)      1
   39   0.650         1    False  (  1725.77,  60.00,  -789.32)  (   -0.02,   -0.04,   -6.17)      1
   40   0.667         1    False  (  1725.77,  60.00,  -789.32)  (   -0.02,   -0.04,   -6.17)      1
   41   0.683         1    False  (  1725.77,  60.00,  -789.53)  (   -0.02,   -0.03,   -5.23)      1
   42   0.700         1    False  (  1725.77,  60.00,  -789.53)  (   -0.02,   -0.03,   -5.23)      1
   43   0.717         1    False  (  1725.77,  60.00,  -789.70)  (   -0.01,   -0.02,   -4.32)      1
   44   0.733         1    False  (  1725.77,  60.00,  -789.84)  (   -0.01,   -0.02,   -3.44)      1
   45   0.750         1    False  (  1725.77,  60.00,  -789.84)  (   -0.01,   -0.02,   -3.44)      1
   46   0.767         1    False  (  1725.77,  60.00,  -789.96)  (   -0.01,   -0.01,   -2.59)      1
   47   0.783         1    False  (  1725.77,  60.00,  -789.96)  (   -0.01,   -0.01,   -2.59)      1
   48   0.800         1    False  (  1725.77,  60.00,  -790.05)  (   -0.01,   -0.01,   -1.77)      1
   49   0.817         1    False  (  1725.77,  60.00,  -790.05)  (   -0.01,   -0.01,   -1.77)      1
   50   0.833         1    False  (  1725.77,  60.00,  -790.10)  (    0.00,    0.00,   -0.97)      1
   51   0.850         1    False  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,   -0.21)      1
   52   0.867         1    False  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,   -0.21)      1
   53   0.883         1    False  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.01)      1
   54   0.900         1    False  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.01)      1
   55   0.917         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   56   0.933         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   57   0.950         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   58   0.967         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   59   0.983         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   60   1.000         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   61   1.017         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   62   1.033         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   63   1.050         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   64   1.067         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   65   1.083         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   66   1.100         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   67   1.117         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   68   1.133         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   69   1.150         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   70   1.167         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   71   1.183         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   72   1.200         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   73   1.217         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   74   1.233         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   75   1.250         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   76   1.267         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   77   1.283         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   78   1.300         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   79   1.317         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   80   1.333         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   81   1.350         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   82   1.367         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   83   1.383         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   84   1.400         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   85   1.417         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   86   1.433         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   87   1.450         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   88   1.467         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   89   1.483         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   90   1.500         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   91   1.517         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   92   1.533         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   93   1.550         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   94   1.567         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   95   1.583         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   96   1.600         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   97   1.617         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   98   1.633         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
   99   1.650         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  100   1.667         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  101   1.683         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  102   1.700         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  103   1.717         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  104   1.733         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  105   1.750         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  106   1.767         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  107   1.783         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  108   1.800         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
